feature,mutual_information
pos_ADP,0.06029064966092346
digit_ratio,0.05606254541834699
ent_DATE,0.05342890062615013
pos_AUX,0.05240529009202777
dep_nsubj,0.04379677808012472
pos_PROPN,0.032656009236771144
stop_ratio,0.03101911966651527
entity_ratio,0.03044745902669521
ent_GPE,0.0292347982772454
pos_NUM,0.028081295541180662
avg_sentence_len,0.02776559975560322
ent_ORG,0.02728386039938191
upper_ratio,0.02127818727055586
dep_dobj,0.019026026047778588
dep_obj,0.01826913832324273
dep_ROOT,0.01784621582838808
ent_PERCENT,0.01774426658956485
ent_PERSON,0.017571451842614216
avg_token_len,0.01712281752977529
ent_MONEY,0.017012128403310012
dep_amod,0.014474636397024065
dep_nsubjpass,0.013532929797970716
pos_ADV,0.013496312616447792
negation_ratio,0.012461082295182058
pos_NOUN,0.011176755129621352
dep_compound,0.009749714421206201
log_token_count,0.009395218335305877
dep_neg,0.008948059535550001
ent_CARDINAL,0.0071697029844128846
punct_ratio,0.006449291067835761
pos_PRON,0.006295058292406841
dep_advmod,0.0030214361710330095
pos_VERB,0.002669926407747658
log_sentence_count,0.0
pos_ADJ,0.0
dep_iobj,0.0
ent_TIME,0.0
ent_QUANTITY,0.0
ent_PRODUCT,0.0
